date,PriceUSD
11/1/2021,61092.09506
11/2/2021,63024.74723
11/3/2021,62955.98176
11/4/2021,61393.88998
11/5/2021,61005.84083
11/6/2021,61455.05363
11/7/2021,63043.82906
11/8/2021,67541.75551
11/9/2021,67095.58567
11/10/2021,64756.07797
11/11/2021,64962.93129
11/12/2021,64078.96804
11/13/2021,64397.79121
11/14/2021,65032.22565
11/15/2021,63753.50316
11/16/2021,60322.49785
11/17/2021,60154.30837
11/18/2021,56794.15563
11/19/2021,58014.07299
11/20/2021,59749.47382
11/21/2021,59032.6241
11/22/2021,56383.56588
11/23/2021,57642.2658
11/24/2021,57141.83038
11/25/2021,59008.65548
11/26/2021,53800.61784
11/27/2021,54635.88246
11/28/2021,57248.5697
11/29/2021,57920.71073
11/30/2021,57097.01279
12/1/2021,57180.60984
12/2/2021,56582.89377
12/3/2021,53671.61607
12/4/2021,49159.7358
12/5/2021,49327.0936
12/6/2021,50535.42522
12/7/2021,50574.47283
12/8/2021,50500.65435
12/9/2021,47937.82285
12/10/2021,47437.22897
12/11/2021,49321.76933
12/12/2021,50136.57226
12/13/2021,46785.32784
12/14/2021,48292.68225
12/15/2021,48830.62239
12/16/2021,47663.46911
12/17/2021,46334.48375
